Process	CPU	Private Bytes	PID	Working Set	Description	Company Name	User Name	Command Line
  msdtc.exe		3,748 K	4724	1,696 K	Microsoft Distributed Transaction Coordinator Service	Microsoft Corporation	NT AUTHORITY\NETWORK SERVICE	C:\windows\System32\msdtc.exe
  taskhost.exe	< 0.01	17,608 K	5740	10,392 K	Host Process for Windows Tasks	Microsoft Corporation	CORPORATE\agoenka	taskhost.exe USER
  SearchIndexer.exe	< 0.01	61,988 K	6980	48,956 K	Microsoft Windows Search Indexer	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\SearchIndexer.exe /Embedding
   SearchProtocolHost.exe	< 0.01	4,260 K	9536	8,488 K	Microsoft Windows Search Protocol Host	Microsoft Corporation	NT AUTHORITY\SYSTEM	"C:\windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe770_ Global\UsGthrCtrlFltPipeMssGthrPipe770 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" 
   SearchFilterHost.exe		3,432 K	11244	7,120 K	Microsoft Windows Search Filter Host	Microsoft Corporation	NT AUTHORITY\SYSTEM	"C:\windows\system32\SearchFilterHost.exe" 0 520 524 532 65536 528 
  daemonu.exe	< 0.01	5,868 K	2640	6,668 K	NVIDIA Settings Update Manager	NVIDIA Corporation	GOENKA-A-W7N1\UpdatusUser	"C:\Program Files (x86)\NVIDIA Corporation\NVIDIA Update Core\daemonu.exe"
  PresentationFontCache.exe		26,380 K	11976	3,524 K	PresentationFontCache.exe	Microsoft Corporation	NT AUTHORITY\LOCAL SERVICE	C:\windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe
  TeamViewer_Service.exe	0.21	8,980 K	9076	3,444 K	TeamViewer 9	TeamViewer GmbH	NT AUTHORITY\SYSTEM	"C:\Program Files (x86)\TeamViewer\Version9\TeamViewer_Service.exe"
  wmpnetwk.exe	< 0.01	13,520 K	13032	8,528 K	Windows Media Player Network Sharing Service	Microsoft Corporation	NT AUTHORITY\NETWORK SERVICE	"C:\Program Files\Windows Media Player\wmpnetwk.exe"
  taskhost.exe		6,804 K	10976	1,764 K	Host Process for Windows Tasks	Microsoft Corporation	CORPORATE\agoenka	"taskhost.exe"
  klnagent.exe	0.03	19,608 K	11892	6,168 K	Kaspersky Administration Kit Network Agent	Kaspersky Lab ZAO	NT AUTHORITY\SYSTEM	"C:\Program Files (x86)\Kaspersky Lab\NetworkAgent 8\klnagent.exe"
   klnagent.exe	0.03	26,356 K	13936	1,656 K	Kaspersky Administration Kit Network Agent	Kaspersky Lab ZAO	NT AUTHORITY\SYSTEM	"C:\Program Files (x86)\Kaspersky Lab\NetworkAgent 8\klnagent.exe" -rcvr_loadconnector "2c6a09aa-788b-42f2-8e0c-28d7906dab67" -rcvr_product "KAVWKS6" -rcvr_version "6.0.4.0" 
  svchost.exe		4,496 K	2832	5,744 K	Host Process for Windows Services	Microsoft Corporation	NT AUTHORITY\LOCAL SERVICE	C:\windows\system32\svchost.exe -k imgsvc
 lsass.exe		32,364 K	724	15,412 K	Local Security Authority Process	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\lsass.exe
 lsm.exe		5,180 K	732	4,636 K	Local Session Manager Service	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\lsm.exe
csrss.exe	0.67	47,812 K	668	36,884 K	Client Server Runtime Process	Microsoft Corporation	NT AUTHORITY\SYSTEM	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
 conhost.exe	< 0.01	1,892 K	8600	1,236 K	Console Window Host	Microsoft Corporation	CORPORATE\agoenka	\??\C:\windows\system32\conhost.exe "-15898726591763597138-48814111218339438795939605881887598777-11623027472052593656
 conhost.exe		1,456 K	1864	604 K	Console Window Host	Microsoft Corporation	CORPORATE\agoenka	\??\C:\windows\system32\conhost.exe "433375746-1309678722-1613342169-178446825223753216727215717394691171-519628388
 conhost.exe		1,460 K	4296	552 K	Console Window Host	Microsoft Corporation	CORPORATE\agoenka	\??\C:\windows\system32\conhost.exe "-74748660910435158191634729427-985277406-1011701222-1235238287-924633553-518573734
 conhost.exe		1,460 K	12372	3,712 K	Console Window Host	Microsoft Corporation	CORPORATE\agoenka	\??\C:\windows\system32\conhost.exe "-386997841-1282387041260501497585026922577273361-1417881065-13296017431133593688
 conhost.exe		1,456 K	13340	3,724 K	Console Window Host	Microsoft Corporation	CORPORATE\agoenka	\??\C:\windows\system32\conhost.exe "-1611096336-1909144671123520227-8102826501160607453165818736015146277921647962033
winlogon.exe		3,500 K	1148	2,604 K	Windows Logon Application	Microsoft Corporation	NT AUTHORITY\SYSTEM	winlogon.exe
 explorer.exe	0.55	223,072 K	10384	95,020 K	Windows Explorer	Microsoft Corporation	CORPORATE\agoenka	explorer.exe
  lync.exe	0.17	382,676 K	7896	344,416 K	Microsoft Lync	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\lync.exe" 
  EXCEL.EXE	0.05	173,800 K	14004	131,612 K	Microsoft Excel	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\EXCEL.EXE" 
  WINWORD.EXE	0.03	122,452 K	2396	101,044 K	Microsoft Word	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\WINWORD.EXE" 
  cmd.exe		2,356 K	9424	232 K	Windows Command Processor	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\system32\cmd.exe" 
  chrome.exe	0.20	94,688 K	5656	97,960 K	Google Chrome	Google Inc.	CORPORATE\agoenka	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 
   chrome.exe	< 0.01	97,880 K	12380	87,152 K	Google Chrome	Google Inc.	CORPORATE\agoenka	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=gpu-process --channel="5656.0.1127680310\628584204" --disable-d3d11 --supports-dual-gpus=false --gpu-driver-bug-workarounds=0,1,5,14,28 --gpu-vendor-id=0x8086 --gpu-device-id=0x0126 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=9.17.10.3062 --ignored=" --type=renderer " /prefetch:822062411
   chrome.exe		30,164 K	8936	6,260 K	Google Chrome	Google Inc.	CORPORATE\agoenka	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="AutocompleteDynamicTrial_2/DefaultControl_R2_Stable/BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group8 pct:10h stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ExtensionInstallVerification/Bootstrap/GoogleNow/Default/OmniboxBundledExperimentV1/PrePeriod_Hivemind_A1_Stable_R5/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group6/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_05/UMA-Uniformity-Trial-1-Percent/group_19/UMA-Uniformity-Trial-10-Percent/group_01/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_04/UMA-Uniformity-Trial-5-Percent/group_05/UMA-Uniformity-Trial-50-Percent/default/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --enable-software-compositing --channel="5656.2.402113308\561970027" /prefetch:673131151
